Job Title;Rating;Company Name;Type of ownership;Industry;Sector;Revenue;Competitors;Hourly;Glassdoor estimates;Employer estimates;Employer provided;Min Salary Estimate;Max Salary Estimate;Average Salary Estimate;Location City;Location State;Headquarters City;Headquarters State;Same state;Same city;Size Ordinal Encoding;Age Company;AWS;Python;Master degree;Bachelor degree;PHD
Senior Spark Engineer (Data Science);4.4;KSM Consulting;Company - Private;Consulting;Business Services;Unknown / Non-Applicable;-1;0;1;0;0;65.0;148.0;106.5;Indianapolis; IN;Indianapolis; IN;1;1;2.0;14;1;1;0;0;0
Data Engineer;3.9;Cogo Labs;Company - Private;Internet;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;59.0;110.0;84.5;Cambridge; MA;Cambridge; MA;1;1;2.0;17;0;1;0;0;0
BI & Platform Analytics Manager;3.4;Church & Dwight;Company - Public;Consumer Products Manufacturing;Manufacturing;$2 to $5 billion (USD);-1;0;1;0;0;85.0;134.0;109.5;Ewing; NJ;Ewing; NJ;1;1;5.0;176;0;1;0;0;0
Lead Data Scientist;3.6;MassMutual;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);-1;0;1;0;0;124.0;204.0;164.0;Boston; MA;Springfield; MA;1;0;6.0;171;1;1;0;0;0
Sr. Data Scientist - Analytics, Personalized Healthcare (PHC);3.9;Genentech;Subsidiary or Business Segment;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);-1;0;1;0;0;131.0;207.0;169.0;South San Francisco; CA;South San Francisco; CA;1;1;7.0;46;0;1;0;0;1
Senior Data Scientist;3.8;Juniper Networks;Company - Public;Telecommunications Services;Telecommunications;$2 to $5 billion (USD);-1;0;1;0;0;110.0;174.0;142.0;Cupertino; CA;Sunnyvale; CA;1;0;6.0;26;1;1;0;0;1
Pricipal Scientist Molecular and cellular biologist;3.7;Takeda Pharmaceuticals;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Novartis, Baxter, Pfizer;0;1;0;0;52.0;101.0;76.5;Boston; MA;OSAKA; Japan;0;0;7.0;241;0;0;0;0;1
Data Scientist (Actuary, FSA or ASA);3.8;Legal & General America;Company - Private;Insurance Carriers;Insurance;$500 million to $1 billion (USD);-1;0;1;0;0;81.0;133.0;107.0;Frederick; MD;Frederick; MD;1;1;4.0;41;0;1;0;0;0
Staff Data Scientist;3.5;Western Digital;Company - Public;Computer Hardware & Software;Information Technology;$10+ billion (USD);Seagate Technology, Toshiba;0;1;0;0;132.0;211.0;171.5;San Jose; CA;San Jose; CA;1;1;7.0;52;1;1;0;0;1
Senior Data Scientist / Machine Learning;3.9;Health IQ;Company - Private;Insurance Agencies & Brokerages;Insurance;Unknown / Non-Applicable;-1;0;1;0;0;73.0;119.0;96.0;Dallas; TX;Mountain View; CA;0;0;3.0;9;0;0;0;0;1
Data Scientist - Health Data Analytics;4.2;Nuna;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;110.0;175.0;142.5;San Francisco; CA;San Francisco; CA;1;1;2.0;12;0;0;0;1;0
Data Engineer 5 - Contract (Remote);4.2;The Church of Jesus Christ of Latter-day Saints;Nonprofit Organization;Religious Organizations;Non-Profit;Unknown / Non-Applicable;-1;0;1;0;0;74.0;140.0;107.0;Riverton; UT;Salt Lake City; UT;1;0;7.0;-1;0;0;0;1;0
Senior Scientist - Neuroscience;3.5;Sunovion;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $2 billion (USD);Shire, GlaxoSmithKline, Allergan;0;1;0;0;100.0;190.0;145.0;Marlborough; MA;Marlborough; MA;1;1;5.0;12;0;1;0;0;1
